id,Title,Year,Type,smoking,cigarette-smoking,pipe-smoking,cigar-smoking,Plot,Rating,Awards
tt0322700,I Love Your Work,2003,movie,False,True,False,False,"The film follows fictional movie star Gray Evans through the disintegration of his marriage, his gradual mental breakdown, and his increasing obsession with a young film student who reminds...",5.3,N/A
tt0037630,Les Dames du Bois de Boulogne,1945,movie,False,True,False,False,A society lady engineers a marriage between her lover and a cabaret dancer who is essentially a prostitute.,7.3,N/A
tt2082415,Saints and Soldiers: Airborne Creed,2012,movie,False,True,True,False,"On August 15, 1944 the 517th Parachute Regimental Combat Team (PRCT) jumped over the south of France. Their mission was to support and protect the Allied Troops marching to Berlin. Landing ...",5.7,N/A
tt0079727,The Plumber,1979,movie,False,True,False,False,"A young couple, living in a campus apartment complex, are repeatedly harassed by an eccentric plumber, who subjects them to a series of bizarre mind games while making unnecessary repairs to their bathroom.",6.5,N/A
tt1946381,Red Sky,2014,movie,False,True,False,False,"Disgraced Top Gun fighter pilot Butch Masters leads a rogue squad in recovery of a WMD. Masters must navigate a fractured friendship, a love triangle, and must take to the skies to reclaim his military and personal honor.",4.1,2 nominations.
tt0118700,Obsession,1997,movie,False,True,False,False,Two men become entangled in a torrid love affair with the same woman. Pierre is Miriam's longtime lover. John is desperately searching for clues about his past when he and Miriam have a ...,5.2,3 nominations.
tt0247394,Gumnaam,1965,movie,False,True,False,True,"Eight people are trapped on an island when their plane abandons them. They find a large mansion whose butler is expecting them. Then one by one, they die...",7.2,2 nominations.
tt2691734,October Gale,2014,movie,False,True,True,False,"A doctor takes in a mysterious man who washes ashore at her remote cottage with a gunshot wound. Quickly they both learn the killer has arrived to finish the job, while a storm has cut them off from the mainland.",5.2,2 nominations.
tt0374273,The Tesseract,2003,movie,False,True,False,False,"A psychologist, an Englishman, a bellboy and a wounded female assasin have their fates crossed at a sleazy Bangkok hotel.",5.3,1 win & 1 nomination.
tt0102368,Madame Bovary,1991,movie,False,True,False,False,"In nineteenth-century France, the romantic daughter of a country squire marries a dull country doctor. To escape boredom, she throws herself into love affairs with a suave local landowner and a law student, and runs up ruinous debts.",6.6,Nominated for 1 Oscar. Another 1 win & 3 nominations.
tt1650407,"Turn Me On, Dammit!",2011,movie,False,True,False,False,"In Skoddeheimen, Norway, 15-year-old Alma is consumed by her hormones and fantasies that range from sweetly romantic images of Artur, the boyfriend she yearns for, to daydreams about practically everybody she lays eyes on.",6.3,4 wins & 7 nominations.
tt0095941,Touch of Death,1991,movie,False,True,False,False,"A moody, middle-aged gigolo kills off women after he gets bored with dating them and uses their body parts for trophies and for consumption.",5.4,N/A
tt0046463,Trouble Along the Way,1953,movie,False,True,False,False,An ex-football coach is hired by a small Catholic college to train its football team in the hopes of winning games and making money to save the school from bankruptcy.,6.8,N/A
tt1332125,A Woman's Way,2009,movie,False,True,False,False,George is released from prison after 14 years of incarceration for a murder he committed in his small Greek village. He spends his first night out in a cheap downtown hotel in Athens. There...,7.4,4 wins & 4 nominations.
