id,smoking,cigarette-smoking,pipe-smoking,cigar-smoking
tt0482374,True,False,False,False
tt0075433,True,False,False,False
tt3909336,True,False,False,False
tt2620736,True,False,False,False
tt2192016,True,True,False,False
tt2990738,True,False,False,False
tt0435961,True,True,False,False
tt1194616,True,False,False,False
tt6412864,True,False,False,False
tt1690455,True,False,False,False
tt4258698,True,True,False,False
tt0118523,True,False,False,False
tt0113748,True,False,False,False
tt0098375,True,True,False,True
tt4876952,True,False,False,False
tt0036400,True,False,False,False
tt1650028,True,False,False,False
tt3885524,True,False,False,False
tt0042792,True,False,False,False
tt0065955,True,True,False,False
tt5600714,True,False,False,False
tt1650453,True,False,False,False
tt0208990,True,False,False,False
tt0114663,True,False,False,False
tt0070800,True,False,False,False
tt0061576,True,False,False,False
tt6097278,True,False,False,False
tt2557256,True,True,False,True
tt1411232,True,False,False,False
tt0041870,True,False,False,False
tt3544218,True,True,False,False
tt0058238,True,False,False,True
tt0081176,True,False,False,False
tt0049277,True,False,False,False
tt0060545,True,False,False,False
tt0124836,True,False,False,False
tt0106966,True,False,False,False
tt1043903,True,True,False,False
tt6417256,True,False,False,False
tt3621802,True,False,False,False
tt0100602,True,False,False,False
tt0098014,True,False,False,False
tt0067793,True,False,False,False
tt1787731,True,True,False,False
tt4768776,True,True,False,False
tt3526706,True,True,False,False
tt0374271,True,False,False,False
tt0330634,True,False,False,False
tt6663626,True,False,False,False
tt0087666,True,False,False,False
tt1807892,True,False,False,False
tt0094327,True,False,False,False
tt3315380,True,False,False,False
tt0032811,True,False,False,True
tt0118766,True,False,False,False
tt2190467,True,False,False,False
tt0360016,True,False,False,False
tt0287397,True,False,False,False
tt0062745,True,False,False,False
tt0038937,True,False,False,False
tt2191888,True,False,False,False
tt6053938,True,False,False,False
tt3104062,True,False,False,False
tt1303902,True,False,False,False
tt0062151,True,False,False,True
tt0419146,True,False,False,False
tt1068669,True,False,False,False
tt0073537,True,False,False,False
tt1311699,True,True,False,False
tt0091361,True,False,False,False
tt0772168,True,True,False,False
tt0091725,True,True,False,False
tt0011841,True,False,False,False
